Wep-to-Wep,Blade,Fist,Hammer,Blood,Chaos,Elemental,Rifle,Pistol,Shotgun
Blade,-,12679.8,12207.7,11131.6,11968.5,13277.7,11253.8,11331.5,11165.5
Fist,12679.8,-,12428.6,11086.9,11235,13442,10681.3,10099.1,11183.4
Hammer,12207.7,12428.6,-,11915,11597.3,13591.4,11258.6,10823,11356.2
Blood,11131.6,11086.9,11915,-,10875.6,12896.9,10368.5,10321.7,10737.2
Chaos,11968.5,11235,11597.3,10875.6,-,12144.4,10524.4,9971.38,10607.2
Elemental,13277.7,13442,13591.4,12896.9,12144.4,-,11727.5,11464.3,12505.3
Rifle,11253.8,10681.3,11258.6,10368.5,10524.4,11727.5,-,9562.24,10332.7
Pistol,11331.5,10099.1,10823,10321.7,9971.38,11464.3,9562.24,-,9864.84
Shotgun,11165.5,11183.4,11356.2,10737.2,10607.2,12505.3,10332.7,9864.84,-

Passives:,36,builds
One In The Chamber,36
Sudden Return,36
Brawler,34
Iron Maiden,34
Elemental Force,26
Twist The Knife,22
Live Wire,20
Thunderstruck,16
Fortunate Strike,11
Lethality,7
Fatal Flourish,6
Gnosis,1
Hard Impact,1
Punishment,1
Wrecking Crew,1
